   | gracz        | m  | p  | t
---+--------------+----+----+---
1. | Mateusz K.   | 22 | 56 | 15
2. | Paweł R.     | 23 | 52 | 28
3. | Marek T.     | 20 | 45 | 29
4. | Mateusz N.   | 20 | 43 | 40
5. | David C.     | 22 | 43 | 17
6. | Jan S.       | 19 | 41 | 13
7. | Maciej C.    | 19 | 36 | 38
8. | Kuba M.      | 20 | 36 | 10
9. | Sebastian Z. | 17 | 31 | 39
10.| Dawid S.     | 12 | 19 | 5
11.| Michał R.    | 10 | 15 | 19
12.| Sebastian S. | 15 | 18 | 8
13.| Mikołaj K.   | 9  | 11 | 2
