   | gracz        | m  | p  | t
---+--------------+----+----+---
1. | Mateusz K.   | 22 | 56 | 15
2. | Paweł R.     | 24 | 55 | 28
3. | Marek T.     | 24 | 53 | 29
4. | Jan S.       | 23 | 52 | 13
5. | Maciej C.    | 23 | 46 | 47
6. | Mateusz N.   | 22 | 46 | 43
7. | David C.     | 22 | 43 | 17
8. | Kuba M.      | 20 | 36 | 10
9. | Sebastian Z. | 20 | 34 | 41
10.| Michał R.    | 17 | 27 | 23
11.| Sebastian S. | 18 | 24 | 8
12.| Dawid S.     | 14 | 23 | 5
13.| Mikołaj K.   | 13 | 16 | 2
